timestamp,bulb_colour,bulb_position,sensor_position,channel_1_410,channel_2_435,channel_3_460,channel_4_485,channel_5_510,channel_6_535,channel_7_560,channel_8_585,channel_9_610,channel_10_645,channel_11_680,channel_12_705,channel_13_730,channel_14_760,channel_15_810,channel_16_890,channel_17_900,channel_18_940
2025-07-31 12:01:45,Blue,far_bulb,close_sensor,0.0,3.7963,10.341,0.0,0.7422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-31 12:01:45,Blue,far_bulb,middle_sensor,0.0,1.9095,5.6951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0754,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-31 12:01:45,Blue,far_bulb,far_sensor,0.0,0.9802,9.7827,3.6673,0.7508,0.0,0.0,0.0,0.0,0.3815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-31 12:01:51,White,close_bulb,close_sensor,0.8462,3.7963,8.4608,0.0,11.8749,19.571,21.334,22.0269,48.5466,16.9158,10.148,3.2519,2.5886,1.719,4.0508,2.2512,0.6843,0.9766
2025-07-31 12:01:51,White,close_bulb,middle_sensor,0.0,0.9547,2.8476,0.0,2.9987,7.0898,5.2242,4.0846,10.211,4.0082,3.2262,0.8499,0.7937,0.849,0.8766,1.1766,0.0,0.0
2025-07-31 12:01:51,White,close_bulb,far_sensor,0.0,0.9802,3.5574,3.6673,0.7508,0.6951,0.493,0.9217,3.4206,1.5262,1.0274,0.4174,0.8016,0.0,0.0,0.0,0.0,0.0
2025-07-31 12:01:56,White,middle_bulb,close_sensor,0.8462,1.8981,4.7005,2.7049,5.9374,12.5814,13.5289,11.2696,20.8057,7.4264,6.0888,2.3228,0.8629,0.8595,1.6203,1.1256,0.6843,0.9766
2025-07-31 12:01:56,White,middle_bulb,middle_sensor,0.0,0.9547,2.8476,0.0,2.2491,4.9628,4.1793,4.0846,10.211,4.4536,3.2262,0.4249,0.7937,0.849,0.8766,1.1766,0.0,0.0
2025-07-31 12:01:56,White,middle_bulb,far_sensor,0.0,0.9802,3.5574,3.6673,0.7508,0.0,0.0,0.0,0.0,0.3815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-31 12:02:02,White,far_bulb,close_sensor,0.0,0.9491,2.8203,0.0,3.7109,6.9897,7.2848,6.6593,11.5587,4.5384,3.0444,1.3937,0.8629,0.8595,1.6203,1.1256,0.0,0.0
2025-07-31 12:02:02,White,far_bulb,middle_sensor,0.0,0.9547,1.8984,0.0,1.4994,2.8359,2.6121,2.5529,7.9419,3.5629,2.1508,0.4249,0.0,0.0,0.8766,0.0,0.0,0.0
2025-07-31 12:02:02,White,far_bulb,far_sensor,0.0,0.9802,5.336,3.6673,2.2523,6.9506,6.4089,3.226,1.1402,1.1446,6.1646,1.6695,0.0,0.8666,0.8638,1.1067,0.6493,0.0
